Designator,Mid X,Mid Y,Rotation,Layer
J1,161.29,-59.73,0.0,top
J2,143.28,-92.83,90.0,bottom
TP1,127.06,-84.52,0.0,top
TP2,157.37,-83.13,0.0,top
TP3,127.0,-79.3,0.0,top
TP4,127.0,-72.39,0.0,top
TP5,157.43,-72.39,0.0,top
U1,144.78,-60.26,0.0,top
U2,128.016,-59.944,0.0,top
U7,141.95,-82.93,90.0,top
